Category,Total,A,B,C,D,E,F,G,H,I,J,K,L,M,N
Unweighted base,1220,560,660,281,410,529,289,262,489,180,882,154,123,61,465
Base: All US adults             ,1201,595,606,370,403,428,294,246,475,187,811,146,177,67,493
Black people ,23%,22%,25%,28%,21%,21%,24%,19%,27%,18%,19%,46%,23%,26%,17%
White people ,9%,10%,8%,11%,8%,8%,9%,9%,10%,8%,10%,7%,8%,7%,9%
Asian people ,27%,26%,28%,33%,22%,26%,30%,27%,27%,22%,24%,38%,25%,41%,18%
Hispanic people ,26%,28%,24%,32%,22%,25%,27%,22%,28%,25%,22%,37%,37%,27%,17%
Men ,8%,9%,6%,8%,8%,7%,10%,6%,8%,5%,7%,6%,13%,9%,8%
Women ,14%,13%,15%,19%,13%,11%,17%,11%,14%,13%,13%,13%,18%,18%,11%
LGBTQ ,24%,22%,26%,29%,19%,23%,26%,24%,23%,21%,24%,22%,21%,24%,13%
None of these (1) ,32%,35%,30%,23%,34%,39%,33%,33%,30%,37%,37%,19%,26%,21%,39%
