demographic,very_important,somewhat_important,not_that_important,not_important_at_all,dont_know_no_opinion,total_n
Adults, 17% (371), 31% (674), 15% (330), 11% (252), 26% (574),2201
Gender: Male, 17% (182), 31% (325), 17% (178), 12% (126), 24% (252),1062
Gender: Female, 17% (189), 31% (349), 13% (152), 11% (126), 28% (323),1139
Age: 18-29, 20% (99), 30% (145), 15% (74), 11% (56), 24% (118),492
Age: 30-44, 23% (118), 29% (154), 16% (83), 9% (47), 23% (119),521
Age: 45-54, 15% (56), 35% (125), 14% (50), 10% (35), 26% (94),358
Age: 55-64, 13% (52), 32% (125), 18% (69), 11% (44), 26% (103),393
Age: 65+, 11% (47), 29% (125), 12% (54), 16% (70), 32% (140),436
Generation Z: 18-22, 18% (42), 28% (67), 17% (40), 14% (33), 23% (55),238
Millennial: Age 23-38, 25% (136), 29% (159), 15% (81), 9% (48), 24% (132),555
Generation X: Age 39-54, 16% (94), 34% (198), 15% (85), 10% (58), 25% (144),578
Boomers: Age 55-73, 12% (88), 30% (218), 15% (106), 14% (104), 29% (213),728
PID: Dem (no lean), 20% (149), 34% (252), 17% (129), 12% (86), 18% (131),747
PID: Ind (no lean), 15% (121), 28% (229), 15% (126), 11% (90), 31% (256),823
PID: Rep (no lean), 16% (101), 31% (193), 12% (74), 12% (76), 30% (187),631
PID/Gender: Dem Men, 23% (68), 31% (93), 19% (56), 13% (38), 15% (44),299
PID/Gender: Dem Women, 18% (81), 35% (158), 16% (73), 11% (48), 20% (87),448
PID/Gender: Ind Men, 14% (61), 30% (131), 17% (75), 11% (50), 27% (116),433
PID/Gender: Ind Women, 15% (60), 25% (98), 13% (51), 10% (40), 36% (140),390
PID/Gender: Rep Men, 16% (53), 30% (100), 14% (46), 12% (39), 28% (92),330
PID/Gender: Rep Women, 16% (48), 31% (93), 9% (28), 12% (37), 32% (95),300
Ideo: Liberal (1-3), 23% (167), 33% (233), 16% (117), 10% (70), 18% (127),714
Ideo: Moderate (4), 14% (64), 36% (168), 15% (70), 12% (56), 24% (114),471
Ideo: Conservative (5-7), 16% (115), 30% (214), 15% (110), 12% (89), 27% (194),721
